Continent,Region,Countries,ID,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Africa,Western Africa,Mali,mali,71.6,72.7,72.89,75.2,78.76,82.65,88.06,93.51,101.31,99.97,98.26,97.48,98.8,100.91,99.77,96.9,92.74,88.56,84.38,80.08,75.47,70.6,65.95,61.99,58.79,56.29,54.33,52.8,51.66,50.98,50.72
Africa,Western Africa,Mauritania,mauritania,82.53,83.29,87.14,91.63,94.14,94.08,93.06,91.91,91.23,88.86,85.11,80.84,77.61,75.04,71.88,68.72,65.86,63.69,61.98,60.33,58.55,56.77,55.26,54.15,53.49,53.1,52.79,52.43,52.11,51.99,52.09
Latin America And The Caribbean,Central America,Mexico,mexico,84.92,91.63,96.94,101.56,101.13,99.61,94.23,85.44,74.77,67.87,63.94,60.25,56.32,52.04,49.87,48.64,48.75,50.22,53.19,55.78,58.34,61.44,65.47,70.24,74.8,78.94,82.36,85.22,87.49,89.14,90.19
Asia,Eastern Asia,Mongolia,mongolia,57.43,62.44,71.89,87.92,96.28,100.76,92.99,86.84,80.48,73.69,62.51,48.49,44.44,46,48.88,47.98,45.87,44.55,45.91,49.19,53.01,57.05,57.22,55.12,53.66,56.13,60.36,63.5,64.71,64.55,64.72
Europe,Southern Europe,Montenegro,montenegro,77.47,72.07,72.94,75.95,64.45,60.84,56.18,52.2,51.06,49.01,48.48,49.34,46.9,47.11,49.83,51.54,54.09,55.1,56.16,58.14,61.64,63.52,66.85,69.45,70.27,72.64,73.18,73.5,73.87,74.27,74.6
Africa,Northern Africa,Morocco,morocco,73.95,79.75,91.16,104.94,103.83,97.64,88.9,83.72,78.33,72.48,63.21,55.69,49.57,49.29,51.5,53.3,50.94,49.76,49.92,51.55,54.66,57.22,59.02,59.2,58.64,59,63.5,67.08,69.35,70.41,70.88
Africa,Eastern Africa,Mozambique,mozambique,79.98,80.51,81.93,84.26,86.47,87.94,88.12,91.58,99.19,89.48,88.56,92.19,94.47,93.79,88.76,84.36,81.09,77.56,73.11,68.1,63.5,60.05,57.58,55.71,54.66,53.87,53.3,53.1,53.35,54.01,54.93
Asia,South-Eastern Asia,Myanmar,myanmar,62.19,69.41,78.16,85.55,85.42,83.89,81.7,78.41,72.05,63.9,54.96,49.29,45.27,42.07,41.63,41.48,41.46,42.09,43.45,45.8,49.17,51.84,53.66,55.04,55.61,56.54,57.93,59.36,60.37,60.92,61.22
Africa,Southern Africa,Namibia,namibia,75.03,79.94,82.92,85.49,87.59,91.39,100.26,101.91,88.69,83.14,77.84,75.87,69.86,62.94,58.61,55.89,53.68,51.21,48.8,47.08,46.44,47.28,49.11,50.76,51.99,53.07,54.51,56.43,58.68,60.88,62.64
Asia,Southern Asia,Nepal,nepal,71.32,71.24,71.92,75.79,78.32,79.79,80.99,82.42,84.21,81.2,79.09,78.11,72.5,62.02,53.74,48.96,47.69,46.87,46.35,45.99,46.35,48.63,52.46,58.47,65.5,70.44,72.41,74.03,75.35,76.47,77.3
Europe,Western Europe,Netherlands,netherlands,58.45,61.84,63.71,60.99,60.01,57.1,51.61,46.38,44.98,46.15,47.33,48.11,49.13,53.59,56.6,61.63,68.04,73.85,76.68,75.61,74.64,74.47,75.22,76.15,78.01,78.56,78.87,79.41,80.49,82.02,83.68
Oceania,Oceania,New Caledonia,new-caledonia,67.4,68.61,69.51,70.77,70.14,70.25,68.45,65.9,58.39,54.39,52.9,50.99,49.32,47.93,48.13,49.55,51.64,53.58,55.72,56.66,57.28,59.29,62.76,65.41,67.34,69.22,71.4,73.65,75.92,78.05,80
Oceania,Oceania,New Zealand,new-zealand,61.42,67.27,71.02,68.79,67.33,63.11,58.6,53.74,52.28,52.78,52.66,50.51,50.37,53.25,56.52,59.35,63,65.05,66.23,65.97,66.67,68.51,70.38,71.24,71.99,74.23,76.5,78.66,80.74,82.53,84.16
Latin America And The Caribbean,Central America,Nicaragua,nicaragua,84.52,92.06,99.8,107.1,102.63,99.04,99.42,100.05,96.6,90,80.51,72.12,64.16,57.95,55.44,53.05,50.81,49.3,49.08,50.31,53.13,56.54,61.23,65.42,68.81,72.7,76.47,79.82,82.52,84.57,86.2
Africa,Western Africa,Niger,niger,101.61,96.04,93.83,95.2,97.68,98.71,98.23,99.93,100.56,100.24,101.86,106.32,110.12,111.55,111.47,111.03,109.03,104.83,99.67,94.14,88.42,82.78,77.43,72.58,68.22,64.37,61.1,58.41,56.26,54.59,53.29
Africa,Western Africa,Nigeria,nigeria,80.87,80.01,79.98,81.17,83.14,85.78,87.8,91.56,91.37,88.67,86.24,86.2,87.8,89.07,87.98,85.21,81.38,78.05,75.23,72.36,69.05,65.44,61.94,59.04,56.75,55.04,53.78,52.78,52.04,51.73,51.81
Europe,Northern Europe,Norway,norway,51.08,55.85,58.65,58.09,59.63,59.91,58.42,55.43,54.4,54.87,54.27,52.36,51.09,53.75,56.69,59.81,62.53,65.37,67.16,67.33,67.74,68.73,70.06,70.88,71.05,71.83,73.28,75.06,76.89,78.62,80.14
Asia,Western Asia,Oman,oman,83.01,84.28,87.38,92.79,97.91,95.62,91.59,92.35,90.61,72.99,65.36,60.24,42.68,33.26,35.16,35.25,31.87,29.81,29.9,35.05,55.24,89.5,114.84,114.99,104.64,95.57,91.27,88.16,86.18,84.94,83.94
Asia,Southern Asia,Pakistan,pakistan,84.88,80.79,79.47,83.39,88.1,89.33,88.76,88.33,90.13,89.28,83.17,73.28,66,59.35,56,52.51,49.86,47.33,45.3,44.36,44.55,46.05,47.85,49.67,50.46,52.02,53.58,55.4,57.26,58.95,60.42
Latin America And The Caribbean,Central America,Panama,panama,84.69,87.55,90.4,92.41,91.69,87.96,81.83,74.91,68.36,63.39,60.4,58.26,56.46,54.23,52.6,52.22,52.96,54.25,55.78,57.26,58.72,60.4,62.22,64.57,67.13,69.59,71.88,74.19,76.57,78.86,81.03
Oceania,Oceania,Papua New Guinea,papua-new-guinea,76.87,79.03,80.87,83.14,84.15,88.77,90.22,88.21,80.37,76.03,74.65,74.15,71.92,67.18,63.04,59.55,57.12,55.28,54.14,52.68,51.2,49.82,49.04,49.02,49.12,49.26,49.28,49.4,49.73,50.27,50.98
Latin America And The Caribbean,South America,Paraguay,paraguay,99.62,102.36,104.35,103.56,98.39,91.35,86.25,83.74,83.33,80.72,74.18,68.33,63.16,59.95,58.24,57.03,55.2,53.21,51.35,50.85,51.92,53.35,54.69,55.83,56.81,57.69,59.08,60.77,62.56,64.29,65.97
Latin America And The Caribbean,South America,Peru,peru,81.89,84.14,87.81,90.97,90.4,87.94,83.66,78.17,73.19,68,63.72,59.76,56.22,53.14,51.29,50.33,50.22,50.58,51.57,53.45,55.59,58.6,62.09,65.45,68.56,71.48,74.38,77.25,79.93,82.28,84.24
Asia,South-Eastern Asia,Philippines,phillipines,89.33,96.32,100.39,101.88,96.01,90.82,86.3,81.9,78.82,75.17,71.65,68.07,63.93,59.92,57.18,56.14,55.01,53.54,51.92,50.75,50.24,50.45,50.92,51.66,52.73,53.32,54.22,55.48,57.06,58.82,60.62
Europe,Eastern Europe,Poland,poland,52.94,57.78,64.43,61.52,54.18,50.13,52.45,53.56,54.26,51.51,46.29,42.17,39.93,43.78,51.4,57.6,59.08,58.48,60.23,65.91,75.33,82.95,86.21,83.78,79.06,77.39,78.29,80.73,82.84,83.2,81.85
Europe,Southern Europe,Portugal,portugal,57.72,57.55,59.21,60.45,62.3,61.04,59.46,55.8,51.98,48.79,47.92,48.66,49.62,51.07,52.29,54.79,59.54,65.42,73.28,81.46,86.71,88.19,88.85,89.89,92.37,94.11,94.51,94.03,93.61,93.86,94.92
Asia,Eastern Asia,Republic of Korea,republic-of-korea,83.01,77.55,80.67,86.56,83.31,71.33,60.72,52.44,44.12,40.61,39.47,39.63,37.59,37.38,41.47,49.76,58.66,67.58,75.98,82.25,88.23,92.07,98.32,103.06,101.47,98.39,97.3,97.28,98.53,100.2,101.27
Europe,Eastern Europe,Republic of Moldova,republic-of-moldova,55.77,55.22,61.2,67.02,62.46,55.45,52.61,53.26,56.76,55.31,50.83,43.27,38.56,40.02,45.5,47.79,48.38,46.34,45.95,48.6,55.21,65.36,69.91,66.94,62.93,64.46,66.24,67.36,67.01,65.82,65.56
Europe,Eastern Europe,Romania,romania,51.51,50.69,54.5,51.37,52.39,52.16,61.59,51.73,51.88,48.22,47.07,43.4,42.55,44.08,47.74,50.6,49.83,54.29,58.81,66.22,72.69,80.61,80.21,77.6,75.44,75.19,76.43,77.91,78.27,77.67,77.24
Europe,Eastern Europe,Russian Federation,russia,53.13,49.03,57.62,56.75,51.25,47.13,46.8,48,49.65,50.2,44.13,40.8,38.93,42.17,47.56,51.08,52.24,50.56,52.04,55.45,60.18,64.99,64,60.16,58.29,58.94,60.74,62.19,62.58,62.53,63
Africa,Eastern Africa,Rwanda,rwanda,85.18,93.72,103.02,109.23,102.3,99.04,101.46,107.4,108.29,83.42,98.1,87.8,88.6,78.62,75.93,70.85,66.26,61.79,58.37,56.29,55.31,54.21,51.82,52.31,51.74,52.32,53.33,54.59,56.15,58.03,60.19
Asia,Western Asia,Saudi Arabia,saudi-arabia,82.98,84.95,88.18,90.26,91.58,90.21,90,82.82,82.47,77.67,72.19,59.73,50.82,45.61,42.31,39.53,35.96,34.77,37.71,44.71,52.23,58.96,62.55,64.18,65.5,69.55,75.75,81.41,83.32,82.24,81.14
Africa,Western Africa,Senegal,senegal,81.9,82.87,85.33,89.31,88.92,90.07,97.55,101.19,100.34,96.57,93.42,89.61,87.72,85.96,82.4,77.48,71.9,67.93,65.38,63.48,61.55,59.49,57.46,55.74,54.64,54,53.71,53.24,52.73,52.39,52.4
Europe,Southern Europe,Serbia,serbia,55.52,56.97,59.47,56.76,51.41,50.48,50.61,49.71,50.83,50.81,49.52,47.25,44.11,44.64,47.85,50.25,52.19,53.99,57.27,62.89,69.46,75.94,81.73,84.61,86.47,87.16,86.5,85.62,84.93,84.15,83.34
Africa,Western Africa,Sierra Leone,sierra_x5F_leone,73.7,70.91,69.53,70.14,75.45,82.16,88.52,91.94,90.85,86.34,83.18,82.18,80.91,77.09,71.35,66.67,63.08,60.43,58.29,56.33,54.47,52.64,51.09,50.19,49.82,49.43,49.09,48.87,48.92,49.27,49.85
Europe,Eastern Europe,Slovakia,slovakia,54.85,59.28,61.82,62.47,57.49,56.11,57.84,55.55,55.54,50.58,45.1,39.75,37.81,40.48,46.67,51.04,53.22,53.64,56.79,63.98,71.46,77.99,80.9,78.23,74.35,73.27,74.3,76.47,78.18,78.46,77.83
Europe,Southern Europe,Slovenia,slovenia,52.7,53.6,54.25,53.77,51.49,53.11,52.96,47.44,46.16,43.91,42.81,42.25,44.25,47.78,54.57,58.84,62.37,66.06,69.99,76.29,81.37,83.51,81.58,78.78,76.77,77.9,79.78,81.31,81.89,82.08,82.77
Africa,Eastern Africa,Somalia,somalia,78.06,80.1,83.63,85.52,86.88,87.87,88.7,89.95,92.63,95.8,100.43,102.53,102.08,98.15,94.88,90.71,86.64,82.12,77.16,72.21,67.81,64.01,60.87,58.37,56.12,54.32,52.83,51.69,50.94,50.53,50.47
Africa,Southern Africa,South Africa,south_x5F_africa,72.92,77.44,81.19,84.31,83.53,82.15,80.67,77.29,72.8,65.02,57.25,54.31,53.7,53.93,53.5,51.17,49.34,47.51,46.5,46.31,47.3,48.57,49.4,49.84,51.08,53.45,55.52,57.46,59.08,60.59,62.17
Europe,Southern Europe,Spain,spain,50.87,52.68,55.38,57.07,60.14,60.56,59.07,54.58,50.47,47.06,46.29,45.45,47.13,51.01,53.23,55.27,59.2,65.96,75.79,87.42,93.77,93.05,89.26,85.28,84.24,86.19,88.53,89.61,89.25,88.77,89.52
Asia,Southern Asia,Sri Lanka,srilanka,92.86,88.4,87.49,82.8,78.46,71.49,67.38,64.18,60.15,55.16,49.53,48.08,49.01,51.75,53.11,54.1,54.45,55.93,57.6,60.47,63.32,63.94,63.59,63.38,64.77,67.74,71.48,73.84,74.9,75.28,75.81
Africa,Northern Africa,Sudan,sudan_x2B_south-sudan,88.93,90.82,92.73,94.37,96.48,98.76,99.64,97.76,93.8,90.2,87.66,86.02,82.47,77.94,72.89,68.83,65.64,62.96,60.48,58.17,56.09,54.38,53.25,52.47,52.02,51.58,51.22,51.04,51.12,51.49,52.01
Latin America And The Caribbean,South America,Suriname,suriname,85.34,92.39,107.27,109.7,109.44,106.31,79.41,67.34,61.42,59.84,57.07,56.15,54.04,49.82,46.82,47.16,49.36,50.87,52.07,51.79,53.54,55.7,56.85,59.97,63.12,64.44,65.66,66.78,68.02,69.35,70.51
Africa,Southern Africa,Swaziland,swaziland,84.08,88.54,92.04,96.23,99.79,103.05,106.27,106.78,103.21,101.51,90.67,81.8,72.96,69.12,68.02,65.02,60.2,55.01,50.62,47.58,46.13,46.12,46.61,46.92,47.33,48.44,50.01,51.63,53.08,54.42,55.84
Europe,Northern Europe,Sweden,sweden,50.39,53.17,51.94,50.6,52.69,55.77,55.97,54.8,55.56,57.02,55.51,53.11,53.16,59.47,63.07,65.2,66.9,68.26,68.51,68.33,68.95,70.63,72.72,71.27,70.65,71.55,73.12,75.14,77.12,78.52,79.67
Europe,Western Europe,Switzerland,switzerland,49.15,51.76,52.28,52.76,53.78,53.95,51.1,46.57,46.19,47.75,48.67,47.27,46.98,48.97,51.71,55.55,60.37,63.84,64.51,64.61,66.11,68.5,71.06,72.52,73.01,73.64,75.09,77.58,80.75,83.85,86.43
Asia,Western Asia,Syrian Arab Republic,syrian-arab-republic,76.45,89.98,101.28,108.2,104.61,104.72,106.86,105.43,99.78,88.56,79.12,72.51,65.19,63.51,55.21,53.13,51.79,50.32,48.59,48.53,50.21,52.61,54.98,58.29,61.42,63.88,66.22,68.9,72.28,75.52,78.3
Asia,Central Asia,Tajikistan,tajikistan,61.72,62.29,78.25,100.08,106.54,100.68,90.64,87.63,90.35,92.92,86.69,72.7,64.52,64.64,67.73,67.22,61.97,57.62,55.95,56.39,57.31,57.46,55.68,53.69,52.07,52.37,54.14,55.13,55.23,55.05,55.48
Asia,South-Eastern Asia,Thailand,thailand,83.08,82.08,86.05,89.79,90.73,85.27,75.82,63.29,53.18,48.85,44.4,42.96,39.28,38.69,40.21,44.07,49.77,56.77,63.74,70.13,74.95,79,83.01,86.25,89.24,90.96,91.17,90.49,89.76,89.2,88.67
Africa,Western Africa,Togo,togo,83.88,84.82,85.78,87.76,90.82,94.46,97.34,98.12,96.88,94.86,88.97,83.9,81.2,79.58,76.2,71.58,66.67,63.36,61.36,60,58.65,57.12,55.48,54.14,53.42,53.16,53.19,53.12,53.04,53.21,53.69
Africa,Northern Africa,Tunisia,tunisia,70.69,74.63,84.56,93.1,93.35,88.85,83,78.21,73.44,65.36,55.93,48.13,43.76,44.27,46.99,48.47,49.25,50.16,51.85,56.83,64.33,71.25,75.2,74.7,73.67,75.24,78.92,82.67,84.77,84.5,82.92
Asia,Western Asia,Turkey,turkey,73.7,79.56,84.42,89.1,85.36,83,81.03,75.24,68.91,62.47,57.85,53.98,50.95,48.47,47.42,47.42,48.18,49.82,52.64,56.32,60.31,63.79,66.83,70.15,73.17,75.92,78.46,80.59,82.34,83.88,85.25
Asia,Central Asia,Turkmenistan,turkmenistan,63.08,65.49,80.89,96.27,98.63,92.04,83.84,79.88,79.41,77.54,68.35,59.37,50.04,47.88,46.84,46.74,45.74,44.05,43.31,43.96,45.88,49.03,51.7,51.62,52.27,53.35,55.4,57.6,59.15,59.89,60.39
Africa,Eastern Africa,Uganda,uganda,85.26,91.78,94.21,96.63,97.88,99.17,100.19,100.88,102.57,105.86,108.07,107.69,105.36,101.41,96.15,90.25,84.55,79.33,74.56,70.17,66.18,62.65,59.79,57.55,55.98,54.92,54.32,54.13,54.35,54.95,55.87
Europe,Eastern Europe,Ukraine,ukraine,53.49,48.15,52.4,53.51,51.02,50.08,50.28,49.59,50.57,51.05,45.44,43.85,42.21,42.6,49.31,51.01,52.09,50.77,52.15,56.32,62.4,68.27,67.31,62.5,58.05,59.11,61.41,63.14,63.23,62.06,61.28
Asia,Western Asia,United Arab Emirates,united-arab-emirates,84.1,84.46,87.23,66.42,57.14,43.01,41.57,49.69,47.09,38.5,35.85,26.37,16.54,19.97,21.4,19.07,16.07,16.21,22.99,37.76,55.83,68.36,72.01,71.2,68.85,69.06,72.01,74.8,77.77,81.74,86.99
Europe,Northern Europe,United Kingdom,united-kingdom,49.9,52.2,54,55.17,58.99,59.67,56.1,52.33,53.21,54.54,53.38,51.3,51.86,55.51,58.21,60.11,63.59,66.71,68.08,68.53,70.44,72.44,73.24,73.05,72.62,74.17,75.79,77.62,79.39,80.8,81.93
Africa,Eastern Africa,United Republic of Tanzania,united-rep-of-tanzania,92.9,92.43,92.99,93.27,95.02,95.88,96.69,96.24,94.96,92.67,91.07,90.94,92.14,92.09,89.29,84.34,79.89,76.51,73.81,71.2,68.37,65.53,62.98,60.84,59.41,58.6,58.02,57.56,57.29,57.3,57.7
Northern America,Northern America,United States of America,usa,54.45,62.16,66.53,65.81,61.38,55.29,51.26,50.51,51.87,52.52,50.86,48.94,49.04,51.65,55.48,60.17,63.9,65.4,65.46,65.15,65.56,66.55,67.97,68.9,69.66,70.33,71.2,72.39,73.82,75.35,76.73
Latin America And The Caribbean,South America,Uruguay,uruguay,56.52,55.62,56.31,57.39,58.25,59.63,59.86,60.72,60.37,59.88,60.36,59.52,57.18,55.65,55.3,56.19,57.29,57.79,59.31,61.43,62.54,64.62,67.6,70.18,72.16,73.76,75.31,76.84,78.27,79.52,80.6
Asia,Central Asia,Uzbekistan,uzbekistan,59.4,61.53,79.3,99.68,104.35,95.64,86.16,82.08,81.93,79.7,71.15,61.18,51.89,47.93,47.83,46.94,45.56,43.61,43.11,44.27,46.61,50.19,53.51,54.65,54.82,56.73,59.26,61.57,63.06,63.71,64.21
Latin America And The Caribbean,South America,Venezuela (Bolivarian Republic of),venezuela,83.04,88.72,93.15,96.36,94.47,86.79,78.4,73.81,71.66,67.16,62.06,56.99,54.08,52.72,51.83,51.05,51.08,51.26,51.44,52.6,54.31,56.62,58.74,60.83,63.13,65.61,68.11,70.5,72.72,74.74,76.57
Asia,South-Eastern Asia,Viet Nam,vietnam,56.46,66.04,81.66,95.32,97.09,90.87,86.01,80.51,75.8,71.01,61.28,50.8,42.92,41.29,41.89,42.59,43.9,46.05,49.78,54.46,60.22,67.15,74.4,76.27,77.89,80.86,83.48,85.16,85.33,84.91,84.8
Africa,Northern Africa,Western Sahara,western-sahara,82.96,69.8,65.69,66.72,74.36,94.37,66.88,69.84,70.35,65.69,56.49,48.57,42.56,40.78,40.19,41.08,41.28,41.9,43.82,47.22,51.13,54.39,56.33,55.82,54.95,55.57,57.87,61.08,63.88,65.55,66.35
Asia,Western Asia,Yemen,yemen,85.99,79.64,76.61,77.22,90.03,102.14,108.29,114.82,120.82,115.94,106.11,93.49,80.77,72.6,66.17,61.36,56.13,50.72,46.12,43.57,42.77,42.94,43.85,44.45,45.03,45.66,46.93,48.77,50.87,52.83,54.58
Africa,Eastern Africa,Zambia,zambia,91.73,90.44,90.58,91.37,96.19,99.01,100.58,97.69,94.91,93.42,94.06,97.77,98.28,95.68,92.46,89.73,86.03,82.96,80.81,79.08,77.05,74.56,71.93,69.71,67.87,66.24,65,63.89,62.93,62.18,61.65
Africa,Eastern Africa,Zimbabwe,zimbabwe,82.53,89.09,94.65,104.26,105.4,106.09,107.89,103.76,96.35,90.67,83.62,82.35,82.54,73.51,69.19,65.11,59.1,52.65,48.48,47.51,48.84,50.61,51.8,52.17,52.42,53.49,55.29,57.78,60.2,62.33,64.46
